final_holder_id,tx_count,received_sum_ada,sent_sum_ada,received_sum_gens,sent_sum_gens,received_sum_milk,sent_sum_milk,received_sum_min,sent_sum_min,received_sum_wrt,sent_sum_wrt,received_sum_sundae,sent_sum_sundae,received_token_count,sent_token_count,gens_balance,milk_balance,min_balance,wrt_balance,sundae_balance,token_num,ada_balance,is_virtual,all_bech32_addresses,has_script_address
stake1uyct57sy7gvzg3jt7rteepwp8ely83f4tcrh88n29dmd4ag9nets4,64,10688.023696,9324.653948,0.0,0.0,2.0,1.0,0.0,0.0,9.0,3.5,82.883232,43.244988,33,31,0.0,1.0,0.0,5.5,39.638244,33,1363.369748,False,['addr1qyx3cr26q6qz3h84xk42zdxd9r5xxcpnlu7dnmucwxd3gx3shfaqfuscy3ryhuxhnjzuz0n7g0zn2hs8ww0x52mkmt6ss8zg65'],False
stake1uyctdw9nfvkqrahflefsc4mvrwvufxssqmf857mpuxcw8qsppte4y,90,11033.659111,11013.074632,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,42.447447,37.731064,84,83,0.0,0.0,0.0,1.0,4.716383,38,20.584479,False,['addr1qxte88ngqhfu58g2nwq3gytzcnuda5lqp3m2gghzfp7pt9fsk6utxjevq8mwnljnp3tkcxuecjdpqpkj0fakrcdsuwpq2wt2yl'],False
stake1uyctusgj4h4kh0wvctefkrs26gdxv9krk5xrkkjqmmh3h6qp7ygrf,27,374.000718,346.515113,0.0,0.0,0.0,0.0,0.0,0.0,6.776021,0.0,0.0,0.0,22,21,0.0,0.0,0.0,6.776021,0.0,21,27.485605,False,['addr1qxfvpz06pdrxjp8ccxuq0zmmduz76fw3fad2sgr80yy7dtesheq39t0tdw7ueshjnv8q45s6vctv8dgv8ddyphh0r05qmelu3l'],False
stake1uycu4h3nv9elctwdrs65zgkf75fer99nnjnkm2k508ttlrc3ggd29,2,964.323266,0.0,528.706672,0.0,0.0,0.0,0.0,0.0,1.0,0.0,434.445314,0.0,95,0,528.706672,0.0,0.0,1.0,434.445314,95,964.323266,False,['addr1q9k6k87rvrqf2qj2zr7qmff9defqa3e2fx9ljal47xwrm733et0rxctnlsku68p4gy3vnagnjx2t8898dk4dg7wkh78skavuhj'],False
stake1uycud3pf4vjlz0dgpaf9w38fj9apq3c0ddz3mr3kd68ekvg7vn046,58,658078.665016,580847.326357,628.696936,0.0,0.0,0.0,71442.939528,35721.469764,744.152352,372.076176,0.0,0.0,36,17,628.696936,0.0,35721.469764,372.076176,0.0,35,77231.338659,False,['addr1q80dqvvqnzuhfwhkwmj4uaspafpjfcu9qr37calz9ls3d4e3cmzzn2e97y76sr6j2azwnyt6zprs7669rk8rvm50nvcsexgmpl'],False
stake1uycunaw3va3mkjw7vv7h6euarsg37zqmvxvthtyvlvlmc7c7xhxhs,231,36459.844021,34670.59708,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,155.285886,77.642943,75,65,0.0,0.0,0.0,1.0,77.642943,74,1789.246941,False,['addr1qyywvjtdfswa70z34asjwr8j784fuwt98u64e22mvrmxpse3e86azemrhdyaucea04ne68q3ruypkcvchwkge7elh3aszcrnrp'],False
stake1uycuq36au2euhakft546x7vtzwsshg6p6xck28qzyzwneusvzqql0,103,9422.131429,9401.739559,0.0,0.0,0.0,0.0,3518.104028,3518.104028,84.2,81.0,1224.396288,1190.38528,30,29,0.0,0.0,0.0,3.2,34.011008,21,20.39187,False,['addr1qy5hz2vs7vf6rpzze760whkrwzd6fpckseeetfcp5vscf833cpr4mc4ne0mvjhft5duckyappw35r5d3v5wqygya8neqqapjkv'],False
stake1uycuul2e2q4phcc3g4uqvq7rraurplnr2lhlz35y6ng4hgcaqr9ry,753,2125891.612753,2125751.756274,3568.264396,3568.264396,4.0,4.0,45168.456165,45168.456165,36.0,34.0,2721.262881,2721.262881,415,411,0.0,0.0,0.0,2.0,0.0,345,139.856479,False,['addr1qypgu8v4hvt0jgzltdaj7kt42mrjmkwx0ffkvwmf5k706h33ee74j5p2r033z3tcqcpux8mcxrlxx4l079rgf4x3tw3sler8rz'],False
stake1uycv05t57m5xqhnqvkx0p8crdyxsj959hexj6p4mzwc4y4csnxdpa,17,831.355554,405.8,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,16.652402,0.0,34,2,0.0,0.0,0.0,5.3,16.652402,33,425.555554,False,['addr1qx5t4h8a3d3tzlp5wp7l659g5mtylk2qw5dpmjpr52mpa5esclghfahgvp0xqevv7z0sx6gdpytgt0jd95rtkya32ftsa6fhyh'],False
stake1uycwr75k7q0czrm0eerkugmm9hufn32fq0qhsk75s06p37cn6asn4,325,15017.061399,14998.166052,0.0,0.0,5896.0,5896.0,220125.110214,219087.080903,4163.691328,4033.575974,34479.515124,33948.592311,64,63,0.0,0.0,838.029311,130.115354,530.922813,48,18.895347,False,['addr1q9h98mja6x74ghydyvd4dd5fmsz48qc5yayvw6c4qs2hwjfsu8afduqlsy8klnj8dc3hkt0cn8z5jq7p0pdafql5rras2qgrv5'],False
stake1uycxa2fhc0mlpf969r6xpxe0nh5s0zz9wzmv29saz6yqu3gqzdnu6,1235,8385804.864999,8376415.735065,0.0,0.0,46610.0,46610.0,0.0,0.0,1833.185744,1762.6786,5676.496237,5676.496237,490,490,0.0,0.0,0.0,70.507144,0.0,208,9389.129934,False,['addr1q8rar50ntj66xclhp2278dvggyulq7zkppfy9yq6mqfe9mesd65n0slh7zjt5285vzdjl80fq7yy2u9kc5tp695gpezs8ys5v4'],False
