bech32_address,tx_count,received_sum_ada,sent_sum_ada,received_sum_gens,sent_sum_gens,received_sum_milk,sent_sum_milk,received_sum_min,sent_sum_min,received_sum_wrt,sent_sum_wrt,received_sum_sundae,sent_sum_sundae,received_token_count,sent_token_count,hex_address,gens_balance,milk_balance,min_balance,wrt_balance,sundae_balance,token_num,ada_balance
addr1q9k3nj5ml8n3e60hkxdjmhg63yywywu2z2k4weqjyway5mnvvpnj6hq6fj4j9vertmzdhwawynyk8tjtzju5t0ywv35qy2fw4n,1128,2143517.193066,2142764.595641,295249.286485,248618.6347,0.0,0.0,2305696.582283,2298298.8754169997,3601515.347196,3401448.899495,53324.053106,52459.192132,185,185,016d19ca9bf9e71ce9f7b19b2ddd1a8908e23b8a12ad57641223ba4a6e6c60672d5c1a4cab22b3235ec4dbbbae24c963ae4b14b945bc8e6468,46630.651785,0.0,6302.877626,200066.447701,864.860974,72,752.597425
addr1qyka0ql0lc6scwhzwma5caxs8dcsen2hrfdmgmk4ry3x6c02gz7vk03ns78ntzyt2jruw6wccqxrc4svhrn6azh693rq3sj9wl,9,205.797117,51.19818,0.0,0.0,0.0,0.0,0.0,0.0,594890.0,400000.0,0.0,0.0,3,1,012dd783effe350c3ae276fb4c74d03b710ccd571a5bb46ed519226d61ea40bccb3e33878f35888b5487c769d8c00c3c560cb8e7ae8afa2c46,0.0,0.0,0.0,194890.0,0.0,3,154.598937
addr1qyn7ddedvgh00rsv8hdzvya6t676dl2gf5ly97sz38jlt5exut3kfvscxksrjw9k4qpr0nysdlt8wxsz36fqrgr23zlqg4ls5p,92,53793.604497,53772.558671,0.0,0.0,0.0,0.0,0.0,0.0,601784.584101,411770.801913,1354334.524912,445315.260464,10,10,0127e6b72d622ef78e0c3dda2613ba5ebda6fd484d3e42fa0289e5f5d326e2e364b21835a03938b6a80237cc906fd6771a028e9201a06a88be,0.0,0.0,0.0,190013.782188,909019.264448,8,21.045826
addr1q8rtscgmcyslepf4x7zffr23yzxkf2agvj9v8p7zjum7w0jqgr8rtxftvr7256swfgrqpjxzjztd60mjdmxl0hnt7uzs09ftmc,1244,915663.915826,884576.301814,0.0,0.0,0.0,0.0,138351.537462,138351.537462,731639.699886,543169.710682,75205.193414,75205.193414,447,442,01c6b8611bc121fc85353784948d51208d64aba8648ac387c29737e73e4040ce35992b60fcaa6a0e4a0600c8c29096dd3f726ecdf7de6bf705,0.0,0.0,0.0,188469.989204,0.0,336,31087.614012
addr1qyklca5ck8r2msd906ksfu3teplfsu9rdfjuh6adzynfga565jv9afummy3gf0mdkmdv7hn4celukrcv59y8k5xqhqmqkw7thx,100,50318.442128,50299.049182,0.0,0.0,1460.0,1460.0,570396.553294,384500.196764,759208.482031,580100.676578,301545.230836,0.0,30,28,012dfc7698b1c6adc1a57ead04f22bc87e9870a36a65cbebad112694769aa4985ea79bd92284bf6db6dacf5e75c67fcb0f0ca1487b50c0b836,0.0,0.0,185896.35653,179107.805453,301545.230836,27,19.392946
addr1q9uxhz8je2lnyvf97k5vyq4j2hy8a7ffn0nz59mtcn8sfs66ptfle75fd98jte8j9mkddttth44ns7h0r9490dg0kxaqd3hx6t,287,1795749.37554,1775830.453806,0.0,0.0,0.0,0.0,3376054.173127,3376054.173127,158530.753465,0.0,720267.964676,8347.453555,268,227,01786b88f2cabf323125f5a8c202b255c87ef9299be62a176bc4cf04c35a0ad3fcfa89694f25e4f22eecd6ad6bbd6b387aef196a57b50fb1ba,0.0,0.0,0.0,158530.753465,711920.511121,216,19918.921734
addr1w8qnfkpe5e99m7umz4vxnmelxs5qw5dxytmfjk964rla98q605wte,305106,85634499.676421,85599540.207984,1752410.983056,1752410.983056,0.0,0.0,0.0,0.0,34624046.672796,34464045.06609,307699.055085,307699.055085,201,201,71c134d839a64a5dfb9b155869ef3f34280751a622f69958baa8ffd29c,0.0,0.0,0.0,160001.606706,0.0,28,34959.468437
addr1qyc4wk9n7nuf6ulrg83q5tkf7za9z6z956hn8ydak8kps42ysrlj3qv8vnxf0gwwnp9v0r2ptvnvmhksluvdz424dufqfnk7qc,166,113631.200778,113602.307701,0.0,0.0,23975.0,23975.0,2704462.769764,2604462.769764,855914.151479,698662.761731,11619687.736178,11369687.736178,12,11,01315758b3f4f89d73e341e20a2ec9f0ba516845a6af3391bdb1ec18554480ff28818764cc97a1ce984ac78d415b26cdded0ff18d155556f12,0.0,0.0,100000.0,157251.389748,250000.0,10,28.893077
addr1q9mcm3cvl3ayc8ch49d4f32727pewsyslwfwvphpjc9u6j42g2lshtsllltedpltd6crfl89duts7ws7sa8k58nxf49qhtshv4,53,10517.233747,5344.844386,0.0,0.0,0.0,0.0,0.0,0.0,152833.326639,200.873846,0.0,0.0,7,6,01778dc70cfc7a4c1f17a95b54c55e5783974090fb92e606e1960bcd4aaa42bf0bae1fffd79687eb6eb034fce56f170f3a1e874f6a1e664d4a,0.0,0.0,0.0,152632.452793,0.0,4,5172.389361
addr1qyxjtkrc0zwa273gdrphrmymew29uxya2utg83lxzp3znsjnutps7ma97hyfwk9khefevgqceqwt6geahvn6jhpt9zzq2dn5gm,126,204.516618,63.718241,1535345.428561,88571.0,0.0,0.0,0.0,0.0,166427.07143,17142.57143,0.0,0.0,236,72,010d25d878789dd57a2868c371ec9bcb945e189d571683c7e6106229c253e2c30f6fa5f5c89758b6be53962018c81cbd233dbb27a95c2b2884,1446774.428561,0.0,0.0,149284.5,0.0,166,140.798377
addr1q8yq5qjdlgflumfcle07wqzygn9sg9mxa09hlj8y8vhzjg2xzgrh3kqm09jv5tvz6yyn4f2qq9uf9serc7rz92u8mqjqqr9ddv,388,178677.490617,175259.467594,0.0,0.0,0.0,0.0,2036.091389,2036.091389,388006.853735,254471.312708,93.482603,93.482603,38,35,01c80a024dfa13fe6d38fe5fe7004444cb041766ebcb7fc8e43b2e292146120778d81b7964ca2d82d1093aa540017892c323c78622ab87d824,0.0,0.0,0.0,133535.541027,0.0,6,3418.023023
