token,bech32_address,quantity,token_amount,hex_address
WRT,addr1q9vqq7f788euldl902ykhf0ldgazfrynfdskkxz6wf8hx4htf8awy7ny99gr3anv5dm52f2vh848wkn9sq6c47r3luuq4endv4,80000543899,80000.543899,015800793e39f3cfb7e57a896ba5ff6a3a248c934b616b185a724f7356eb49fae27a64295038f66ca37745254cb9ea775a6580358af871ff38
WRT,addr1qxac9hfu5mm4wqmpq3lmtgjf44rtd6u5n29ln8tgajj6zk852z40l6l4djrmm2x4sy9gtp6y8ds4rhufuzjkue3kkzuqu8m7nu,79384441320,79384.44132,01bb82dd3ca6f7570361047fb5a249ad46b6eb949a8bf99d68eca5a158f450aaffebf56c87bda8d5810a8587443b6151df89e0a56e6636b0b8
WRT,addr1q8qzjtv5yhjqh67dxp9shp7053yld3kvtgz4mzytznh0e3whcyqzczekckejldyhnc050c7f62k9hsu3ue4ex5glwq9shycpkc,78434734030,78434.73403,01c0292d9425e40bebcd304b0b87cfa449f6c6cc5a055d888b14eefcc5d7c1002c0b36c5b32fb4979e1f47e3c9d2ac5bc391e66b93511f700b
WRT,addr1q9kmecv26jt2gpge9s67ytr7fm5g464xp2c8djygnggkq3wwm9luxvkchlhh7u604z37ya9h0hg5pnl0cu2uf3h368dqllteg4,78305011769,78305.011769,016dbce18ad496a405192c35e22c7e4ee88aeaa60ab076c8889a116045ced97fc332d8bfef7f734fa8a3e274b77dd140cfefc715c4c6f1d1da
WRT,addr1q92r6hsmk03nlg28g06ea6qydnmnkwmg0wn32kt3ruchdf9h5jupchf8pq790x7ypxp4prm6zeg3yemncklh9hdw5s6qnhv6cm,74289176138,74289.176138,01543d5e1bb3e33fa14743f59ee8046cf73b3b687ba71559711f3176a4b7a4b81c5d27083c579bc40983508f7a1651126773c5bf72ddaea434
WRT,addr1qy0ana2k90n2930u20kdrzdsqy5jllmu64ju8fzvckp403a2g2lshtsllltedpltd6crfl89duts7ws7sa8k58nxf49qsal4ds,72207000000,72207.0,011fd9f5562be6a2c5fc53ecd189b001292fff7cd565c3a44cc58357c7aa42bf0bae1fffd79687eb6eb034fce56f170f3a1e874f6a1e664d4a
WRT,addr1qxsnwpf74wngtl3zcyckvehsgtx6u88j40szmyh0q4dszqrkx720a3gfuwnt88rfc6ay33etrppluul5qslmpcrfth6qn7auzz,71863891792,71863.891792,01a137053eaba685fe22c1316666f042cdae1cf2abe02d92ef055b0100763794fec509e3a6b39c69c6ba48c72b1843fe73f4043fb0e0695df4
WRT,addr1qx5t2ra8l7ytdf7stwxcynlm9ymftcfs204mrkckvyg2j4qw5plvghmfj88tjj9j9yjptf4wfh9ykwldw4rpuv5jwwcqq6d5dv,71715058309,71715.058309,01a8b50fa7ff88b6a7d05b8d824ffb293695e13053ebb1db166110a9540ea07ec45f6991ceb948b2292415a6ae4dca4b3bed75461e329273b0
WRT,addr1qxrlynj0cjsn9pscey7g73znskqx9mceltv6pkn2tzyhc0qujlpay6j9jtvkznumpp75d6r04xajge78ps44qzrs73kq8qw62e,70000000000,70000.0,0187f24e4fc4a1328618c93c8f4453858062ef19fad9a0da6a58897c3c1c97c3d26a4592d9614f9b087d46e86fa9bb2467c70c2b500870f46c
WRT,addr1q80fpu3v8n8wctwcj5mmmxnevt3cd684mr9fl9f34mhnyv4e74g7v8tpz348epsjgdfjz586wj7q78lguagfg2q5jasq8nfpst,68448464196,68448.464196,01de90f22c3cceec2dd89537bd9a7962e386e8f5d8ca9f9531aeef3232b9f551e61d61146a7c861243532150fa74bc0f1fe8e7509428149760
